jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;cdu1;cdu2;csu1;csu2;spd1;spd2;fdp1;fdp2;gru1;gru2;pds1;pds2
1990;219;Regensburg;9;0;212887;155236;153468;153846;0;0;84449;82533;41121;41275;7650;10363;7044;5725;0;430
1990;220;Schwandorf;9;0;202379;144041;141584;142279;0;0;83461;79658;40578;39286;4277;5898;0;3869;0;152
1990;221;Weiden;9;0;169699;130236;128462;128630;0;0;71626;72613;43872;38324;3966;6281;3109;3349;0;145
1990;222;Bamberg;9;0;206997;155919;154035;154684;0;0;91417;90242;36077;33906;7013;11663;8571;6462;0;288
1990;223;Bayreuth;9;0;137168;102175;101041;101338;0;0;55482;51170;30803;31095;4586;8036;4611;3886;0;190
1990;224;Coburg;9;0;163845;127555;126043;126257;0;0;68405;63725;43946;45248;4495;7746;4716;3818;182;197
1990;225;Hof;9;0;200382;149829;148383;148546;0;0;77338;72366;55186;53827;4103;8536;4225;3766;0;233
1990;226;Kulmbach;9;0;135256;103234;101590;102256;0;0;57350;57302;31185;29558;3549;5445;3935;3151;0;124
1990;227;Ansbach;9;0;221722;165483;163582;164012;0;0;91744;87129;42801;44363;8516;13103;7621;6262;0;220
1990;228;Erlangen;9;0;160033;125236;124162;124473;0;0;58936;55051;39447;37483;10343;16423;8406;7611;0;420
1990;229;Fürth;9;0;223279;165937;164093;164705;0;0;78627;74475;55713;52101;12013;16257;8668;8101;0;449
1990;230;Nürnberg-Nord;9;0;197680;143042;140541;142091;0;0;57405;54884;59463;49496;11994;15781;8397;9698;0;934
1990;231;Nürnberg-Süd;9;0;194762;143850;142008;142686;0;0;61589;59454;55454;51790;8598;13182;6880;5901;0;488
1990;232;Roth;9;0;204721;158442;156800;157301;0;0;77745;74741;50669;48474;10495;14867;9755;7191;0;262
1990;233;Aschaffenburg;9;0;168949;127423;125672;126050;0;0;69445;66493;35478;35367;5745;9690;8310;6360;0;195
1990;234;Bad Kissingen;9;0;208433;164245;162364;162800;0;0;105876;102755;35904;33805;6300;11502;6591;5729;0;217
1990;235;Main-Spessart;9;0;183400;144600;142270;143329;0;0;82088;80464;43525;39508;6611;9806;6690;5647;0;153
1990;236;Schweinfurt;9;0;188278;145983;144161;144537;0;0;82512;80493;38890;37617;6964;10959;6638;5880;0;249
1990;237;Würzburg;9;0;207922;162352;160022;161180;0;0;78501;79524;50173;48007;11974;15283;12014;9010;0;457
1990;238;Augsburg-Stadt;9;0;187563;133612;132180;132485;0;0;62886;61540;41431;39730;7594;10854;9014;7440;0;349
1990;239;Augsburg-Land;9;0;234216;175896;173835;174473;0;0;103467;97683;36986;38595;10300;15366;10561;7822;0;175
1990;240;Donau-Ries;9;0;153573;115227;113609;114078;0;0;62465;66596;28830;25651;10885;8861;4507;4309;0;101
1990;241;Neu-Ulm;9;0;188170;138773;137460;137787;0;0;86805;75243;29893;33746;5496;12623;6497;5558;0;171
1990;242;Oberallgäu;9;0;204371;151842;149975;150642;0;0;87083;81779;30732;33409;7393;14077;11627;7985;0;194
1990;243;Ostallgäu;9;0;242607;177107;174729;175756;0;0;106194;103759;35391;33772;9678;15179;8717;7210;0;209
1990;244;Saarbrücken I;10;0;158630;128647;127127;127211;41935;41616;0;0;70504;66419;8265;10978;3811;4674;0;432
