jahr;wkr_nr;wkr_name
2013;218;München-Nord
2013;219;München-Ost
2013;220;München-Süd
2013;221;München-West/Mitte
2013;222;München-Land
2013;223;Rosenheim
2013;224;Starnberg
2013;225;Traunstein
2013;226;Weilheim
2013;227;Deggendorf
2013;228;Landshut
2013;229;Passau
2013;230;Rottal-Inn
2013;231;Straubing
2013;232;Amberg
2013;233;Regensburg
2013;234;Schwandorf
2013;235;Weiden
2013;236;Bamberg
2013;237;Bayreuth
2013;238;Coburg
2013;239;Hof
2013;240;Kulmbach
2013;241;Ansbach
2013;242;Erlangen
2013;243;Fürth
2013;244;Nürnberg-Nord
2013;245;Nürnberg-Süd
2013;246;Roth
2013;247;Aschaffenburg
2013;248;Bad Kissingen
2013;249;Main-Spessart
2013;250;Schweinfurt
2013;251;Würzburg
2013;252;Augsburg-Stadt
2013;253;Augsburg-Land
2013;254;Donau-Ries
2013;255;Neu-Ulm
2013;256;Oberallgäu
2013;257;Ostallgäu
2013;258;Stuttgart I
2013;259;Stuttgart II
2013;260;Böblingen
2013;261;Esslingen
2013;262;Nürtingen
2013;263;Göppingen
2013;264;Waiblingen
2013;265;Ludwigsburg
2013;266;Neckar-Zaber
2013;267;Heilbronn
2013;268;Schwäbisch Hall – Hohenlohe
2013;269;Backnang – Schwäbisch Gmünd
2013;270;Aalen – Heidenheim
2013;271;Karlsruhe-Stadt
2013;272;Karlsruhe-Land
2013;273;Rastatt
2013;274;Heidelberg
2013;275;Mannheim
2013;276;Odenwald – Tauber
2013;277;Rhein-Neckar
2013;278;Bruchsal – Schwetzingen
2013;279;Pforzheim
2013;280;Calw
2013;281;Freiburg
2013;282;Lörrach – Müllheim
2013;283;Emmendingen – Lahr
2013;284;Offenburg
2013;285;Rottweil – Tuttlingen
2013;286;Schwarzwald-Baar
2013;287;Konstanz
2013;288;Waldshut
2013;289;Reutlingen
2013;290;Tübingen
2013;291;Ulm
2013;292;Biberach
2013;293;Bodensee
2013;294;Ravensburg
2013;295;Zollernalb – Sigmaringen
2013;296;Saarbrücken
2013;297;Saarlouis
2013;298;St. Wendel
2013;299;Homburg
