"wknr";"cdsu_names";"spd_names";"fdp_names";"gru_names";"lin_names";"cdsu1share";"spd1share";"fdp1share";"gru1share";"lin1share"
113;"Sabine Katharina Weiss   ";"Dr Hans-Ulrich Krüger  ";"Thomas Martin Heiske  ";"Thomas Wagener  ";"Sascha Heribert Wagner  ";0.435;0.392;0.018;0.049;0.049
114;"Kerstin Radomski  ";"Siegmund Ehrmann   ";"Michael Terwiesche  ";"Ursula Schauws  ";"Gabriele Kaenders  ";0.401;0.415;0.025;0.053;0.054
115;"Thomas Mahlberg  ";"Bärbel Bas   ";"Jörg Löbe  ";"Anna von Spiczak-Brzezinski  ";"Marc Mulia  ";0.322;0.466;0.016;0.051;0.073
116;"Volker Peter Mosblech  ";"Mahmut Özdemir   ";"Frank Albrecht  ";"Matthias Schneider  ";"Lukas Maximilian Hirtz  ";0.296;0.432;0.016;0.052;0.086
117;"Marie-Luise Dött  ";"Dirk Vöpel   ";"Dr Dorothea Dresenkamp  ";"Bärbel Höhn  ";"Niema Movassat  ";0.323;0.451;0.017;0.078;0.073
118;"Astrid Timmermann-Fechter  ";"Arno Klare   ";"Susanne Rittershaus  ";"Tim Giesbert  ";"Sylvia von Häfen  ";0.356;0.422;0.025;0.064;0.055
119;"Jutta Eckenbach  ";"Dirk Heidenblut   ";"Günther van Wasen  ";"Elke Ludgera Renate Zeeb  ";"Janina Herff  ";0.311;0.483;0.016;0.05;0.072
120;"Matthias Hauer   ";"Petra Hinz  ";"Petra Hermann  ";"Kai Boris Gehring  ";"Cornelia Swillus-Knöchel  ";0.395;0.395;0.02;0.077;0.049
121;"Philipp Mißfelder  ";"Frank Schwabe   ";"Mathias Richter  ";"Sebastian Ohler  ";"Erich Karl Burmeister  ";0.343;0.452;0.02;0.051;0.062
122;"Rita Stockhofe  ";"Michael Peter Groß   ";"Mirjam Forszpaniak  ";"Maaike Amalie Thomas  ";"Bärbel Beuermann  ";0.365;0.457;0.016;0.05;0.056
123;"Oliver Wittke  ";"Joachim Poß   ";"Marco Buschmann  ";"Irene Mihalic  ";"Ingrid Lieselotte Remmers  ";0.286;0.505;0.017;0.037;0.061
124;"Jens Spahn   ";"Ingrid Arndt-Brauer  ";"Claudia Bögel-Hoyer  ";"Dr Jörg Winterfeldt  ";"Robert Brandt  ";0.52;0.319;0.028;0.051;0.038
125;"Sven Volmering  ";"Michael Gerdes   ";"Sebastian Steinzen  ";"Elke Marita Stuckel-Lotz  ";"Friedrich-Wilhelm Zachraj  ";0.365;0.458;0.016;0.036;0.054
126;"Johannes Röring   ";"Ursula Schulte  ";"Kevin Schneider  ";"Frank Büning  ";"Heidi Breuer  ";0.574;0.271;0.023;0.064;0.03
127;"Karl Richard Maria Schiewerling   ";"Ulrich Hampel  ";"Daniel Fahr  ";"Friedrich Ostendorff  ";"Ali Atalan  ";0.561;0.268;0.026;0.07;0.033
128;"Anja Maria-Antonia Karliczek   ";"Jürgen Coße  ";"Christophe Lüttmann  ";"Hermann Stubbe  ";"Kathrin Vogler  ";0.479;0.365;0.018;0.058;0.038
129;"Sybille Maria Ursula Benning   ";"Christoph Strässer  ";"Daniel Bahr  ";"Maria Anna Klein-Schmeink  ";"Hubertus Josef Zdebel  ";0.388;0.354;0.057;0.111;0.043
130;"Reinhold Max Sendker   ";"Bernhard Daldrup  ";"Johannes Jürgen Philipper  ";"Alexander Ringbeck  ";"Karl Stephan Schulte  ";0.513;0.32;0.023;0.059;0.035
131;"Ralph Brinkhaus   ";"Thorsten Klute  ";"Evelyn Dahlke  ";"Marco Gérard Mantovanelli  ";"Ludger Klein-Ridder  ";0.502;0.336;0.019;0.054;0.043
132;"Lena Strothmann  ";"Christina Kampmann   ";"Jasmin Wahl-Schwentker  ";"Britta Haßelmann  ";"Frank Schwarzer  ";0.373;0.381;0.02;0.107;0.069
133;"Dr Tim Ostermann  ";"Stefan Schwartze   ";"Frank Schäffler  ";"Eyüp Odabasi  ";"Inge Dora Minna Höger  ";0.408;0.413;0.035;0.051;0.054
134;"Steffen Kampeter   ";"Achim Post  ";"Andreas Eickmeier  ";"Burghard Grote  ";"Nadja Bühren  ";0.463;0.405;0.019;0.041;0.041
135;"Cajus Julius Caesar  ";"Dirk Becker   ";"Markus Schiek  ";"Ute Maria Christine Koczy  ";"Bernd Jürgen Wobig  ";0.402;0.411;0.023;0.057;0.042
136;"Christian Haase   ";"Petra Rode-Bosse  ";"Horst Josef Walter Grumich  ";"Dirk Brinkschmidt  ";"Ursula Jacob-Reisinger  ";0.5;0.313;0.019;0.057;0.041
137;"Dr Carsten Linnemann   ";"Burkhard Blienert  ";"Heinrich Heineke  ";"Kerstin Haarmann  ";"Siegfried Nowak  ";0.591;0.232;0.019;0.065;0.04
138;"Cemile Giousouf  ";"Peter René Röspel   ";"Katrin Helling-Plahr  ";"Frank Klaus Steinwender  ";"Thomas Friedrich Schock  ";0.341;0.471;0.034;0.045;0.057
139;"Dr Ralf Wolfgang Brauksiepe  ";"Ralf Kapschack   ";"Rosemarie Steinhauer  ";"Janosch Dahmen  ";"Helmut Johannes Kanand  ";0.358;0.423;0.02;0.083;0.051
140;"Prof Dr Norbert Lammert  ";"Axel Schäfer   ";"Dennis Rademacher  ";"Dr Frithjof Schmidt  ";"Sevim Dagdelen  ";0.357;0.442;0.014;0.068;0.068
141;"Ingrid Marianne Fischbach  ";"Michelle Müntefering   ";"Frank Leschowski  ";"Sabine von der Beck  ";"Markus Dowe  ";0.305;0.486;0.015;0.058;0.076
142;"Thorsten Hoffmann  ";"Marco Bülow   ";"Michael Kauch  ";"Markus Kurth  ";"Ursula Jelpke  ";0.307;0.454;0.02;0.075;0.06
