jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;csu1;csu2;gru1;gru2;fdp1;fdp2;pds1;pds2
2002;131;Warendorf;5;0;206718;172866;171023;67941;65889;77347;71269;0;0;7294;11197;15856;18098;1531;1423
2002;132;Gütersloh;5;0;244231;199887;197768;79766;73445;91105;82892;0;0;9664;15881;12353;19104;1672;1681
2002;133;Bielefeld;5;0;244261;200004;197473;98352;82048;71145;63075;0;0;13104;27703;9776;15633;3213;3580
2002;134;Herford - Minden-Lübbecke II;5;0;233093;188924;186430;92218;84018;70835;65966;0;0;7561;13554;10411;15946;1869;1883
2002;135;Minden-Lübbecke I;5;0;208412;168560;166196;82675;74616;62706;57959;0;0;5638;11660;10440;15472;1301;1514
2002;136;Lippe I;5;0;175855;146064;144254;71445;66143;52285;48495;0;0;6374;10488;10523;12988;1329;1405
2002;137;Höxter - Lippe II;5;0;217726;180012;177754;71120;65617;83486;78529;0;0;6727;11985;10640;15365;1492;1424
2002;138;Paderborn;5;0;213014;172727;170670;53484;49709;91284;89150;0;0;9451;11227;11419;14529;1232;1404
2002;139;Hagen - Ennepe-Ruhr-Kreis I;5;0;226103;175182;172818;95378;84626;56641;53462;0;0;5958;12742;10520;15279;1640;1974
2002;140;Ennepe-Ruhr-Kreis II;5;0;186820;151817;148310;82951;76459;44657;39833;0;0;9969;14217;8691;12492;1902;1900
2002;141;Bochum I;5;0;217254;176154;174333;99254;90662;49400;44394;0;0;12025;18814;8405;12611;2924;3178
2002;142;Herne - Bochum II;5;0;195046;151966;149993;92013;86684;38619;34867;0;0;7120;11258;6246;9297;2546;2427
2002;143;Dortmund I;5;0;215162;170755;170281;98301;88124;46543;42788;0;0;12011;19471;8717;12745;3081;3123
2002;144;Dortmund II;5;0;212281;165911;165493;99130;90176;44816;41145;0;0;9117;15225;8002;12018;2678;2683
2002;145;Unna I;5;0;203956;167457;165742;93436;88374;48877;44491;0;0;11062;13190;9155;13686;1854;1814
2002;146;Hamm - Unna II;5;0;241069;189927;187776;101669;94821;66574;61173;0;0;6842;11255;9985;14478;2185;1845
2002;147;Soest;5;0;228436;184172;182059;78033;70312;80460;73152;0;0;7405;13136;13594;18903;2402;1824
2002;148;Hochsauerlandkreis;5;0;211185;173157;171780;63427;59120;92232;83372;0;0;5093;8992;8339;15511;1371;1246
2002;149;Siegen-Wittgenstein;5;0;218988;177268;175405;77404;73305;75118;66870;0;0;7152;12274;10326;15569;1558;1775
2002;150;Olpe - Märkischer Kreis I;5;0;214200;170604;168700;67216;62508;81075;74478;0;0;6332;10213;10929;15644;1640;1456
2002;151;Märkischer Kreis II;5;0;213870;168669;166672;82613;71865;64286;61682;0;0;4695;9999;9663;15592;1354;1507
2002;152;Delitzsch - Torgau-Oschatz - Riesa;16;1;230648;164458;161889;56295;58217;62533;53831;0;0;4116;5173;10363;11432;28124;26629
2002;153;Leipzig I;16;1;192613;140645;139077;56475;55386;38689;35048;0;0;6527;9039;8417;9742;27735;24427
2002;154;Leipzig II;16;1;197871;147721;146030;58113;59255;34811;33166;0;0;8451;13267;9175;9508;34106;26024
2002;155;Leipziger-Land - Muldentalkreis;16;1;235164;173187;170428;67571;64201;59555;54642;0;0;4134;6283;11344;12314;26030;26067
2002;156;Kamenz - Hoyerswerda - Großenhain;16;1;215805;159223;154994;50023;49877;58381;53238;0;0;3351;4917;10993;11840;28479;26845
2002;157;Löbau-Zittau - Görlitz - Niesky;16;1;207575;149767;146527;39469;41603;59399;55503;0;0;4742;5359;13856;10993;26845;23868
2002;158;Bautzen - Weißwasser;16;1;175038;129655;126787;32727;35494;54164;49048;0;0;4097;3982;9866;9818;21047;20115
2002;159;Sächsische Schweiz - Weißeritzkreis;16;1;220461;161890;159065;40980;43668;73463;66158;0;0;5027;6037;9671;11635;23136;22756
2002;160;Dresden I;16;1;217183;164923;162761;50813;53507;54946;49638;0;0;9001;12787;8968;11440;33921;28873
2002;161;Dresden II - Meißen I;16;1;241686;180284;177652;51738;53419;65733;58636;0;0;10687;15635;13900;14457;31064;27774
2002;162;Freiberg - Mittlerer Erzgebirgskreis;16;1;198974;148731;145951;41159;42926;62970;55951;0;0;3381;4797;9445;11062;22906;22008
2002;163;Döbeln - Mittweida - Meißen II;16;1;228884;166616;162943;55357;52083;63973;58899;0;0;4845;5660;9781;12372;24122;25412
2002;164;Chemnitz;16;1;211051;157325;155164;54228;55119;45792;41091;0;0;5865;7856;9342;10903;32425;30574
2002;165;Chemnitzer Land - Stollberg;16;1;192377;143025;140600;45939;48361;51715;48593;0;0;3687;4562;9422;9966;22081;21028
2002;166;Annaberg - Aue-Schwarzenberg;16;1;186037;137624;135018;37598;42142;58702;53114;0;0;3779;3485;8086;8606;19811;19030
2002;167;Zwickauer Land - Zwickau;16;1;195393;142036;139426;44688;48286;54748;46771;0;0;4087;5005;7316;9265;25562;23135
2002;168;Vogtland - Plauen;16;1;225235;165187;162788;55441;58141;56785;54840;0;0;4602;5686;13352;12406;29429;23764
2002;169;Waldeck;6;0;194230;156682;153483;79678;74227;53857;50988;0;0;8598;11450;8782;11625;1915;1577
2002;170;Kassel;6;0;219314;173626;170825;84084;81741;53152;49763;0;0;19595;20486;8050;11457;2775;3016
2002;171;Werra-Meißner - Hersfeld;6;0;191217;153878;150440;82541;74756;53108;49307;0;0;5141;9949;7166;10550;1767;1733
2002;172;Schwalm-Eder;6;0;197153;158483;155151;80739;76514;54537;50496;0;0;8096;10761;9006;11707;1997;1636
2002;173;Marburg;6;0;181936;144891;142700;68027;60301;54834;50292;0;0;7312;14955;6824;10068;2536;2660
2002;174;Lahn-Dill;6;0;211863;163741;160525;75184;67165;65990;61847;0;0;6473;11781;8692;12223;1475;1625
2002;175;Gießen;6;0;223041;177347;173628;78438;70640;67573;63294;0;0;9462;16641;14862;15717;2792;2526
2002;176;Fulda;6;0;235821;191467;187196;65894;59860;101086;92020;0;0;7231;12501;9028;14553;1771;1713
2002;177;Hochtaunus;6;0;181643;149323;147134;59144;50136;64178;61397;0;0;7091;15709;13321;14593;1406;1643
2002;178;Wetterau;6;0;240425;192786;188404;87371;73552;78393;71622;0;0;7792;18648;9627;16602;1567;1997
2002;179;Rheingau-Taunus - Limburg;6;0;218072;176590;173592;69489;61547;81711;74714;0;0;9536;16505;9962;14763;1776;1636
2002;180;Wiesbaden;6;0;186838;143782;141365;66585;52034;56237;51054;0;0;7672;19605;7812;12233;1750;2047
2002;181;Hanau;6;0;237956;191145;187161;88523;74243;74705;71402;0;0;8791;17528;9660;15460;1970;2370
2002;182;Main-Taunus;6;0;193631;163517;161147;57260;50469;79928;69288;0;0;11422;18572;10232;17388;1732;1654
2002;183;Frankfurt am Main I;6;0;182930;138514;136085;60026;47378;48721;45655;0;0;12178;23868;8019;11086;2513;3492
2002;184;Frankfurt am Main II;6;0;200796;157015;154489;55040;52438;54632;50564;0;0;31567;29910;6697;13377;3081;3698
2002;185;Groß-Gerau;6;0;169053;136988;134082;66977;58534;46922;43275;0;0;9995;15307;7147;10446;2453;1863
2002;186;Offenbach;6;0;221942;176190;172980;74924;61315;74158;67721;0;0;9114;20733;10062;15300;2334;2567
