jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;erststimmegueltig;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;csu1;csu2;gru1;gru2;fdp1;fdp2;pds1;pds2
1998;133;Hochtaunus;6;0;239853;207048;203592;204292;77125;70440;94576;80528;0;0;11305;16480;11308;23973;2051;2447
1998;134;Wetterau;6;0;211682;177648;174038;174693;80548;73043;71641;61160;0;0;7107;12623;4814;14119;1713;2205
1998;135;Rheingau-Taunus - Limburg;6;0;214314;181094;177638;178277;73070;66531;83128;72984;0;0;8480;12607;4900;14566;1621;2020
1998;136;Wiesbaden;6;0;185832;151643;149254;149669;66021;56877;62967;52923;0;0;7026;14753;3763;13069;1618;2372
1998;137;Hanau;6;0;234273;196848;193334;193687;87143;78691;83397;68467;0;0;9060;14769;4554;14516;2751;3039
1998;138;Frankfurt am Main I - Main-Taunus;6;0;169398;140060;137959;138274;54448;51083;60717;50182;0;0;9234;11967;3555;12079;1791;2434
1998;139;Frankfurt am Main II;6;0;142613;115519;113899;114195;47522;38091;45703;37570;0;0;9537;17654;4243;11681;1973;3007
1998;140;Frankfurt am Main III;6;0;144564;117231;115462;115721;44914;40582;43450;36638;0;0;17791;18631;3111;9959;1912;2992
1998;141;Groß-Gerau;6;0;219452;187558;184221;184741;89035;79561;70273;62015;0;0;10175;16144;4743;13691;2273;2588
1998;142;Offenbach;6;0;220006;182721;179485;180076;77988;67637;77276;65477;0;0;7831;16258;5734;16635;2130;2822
1998;143;Darmstadt;6;0;211831;178501;175251;175753;81862;73780;65790;53725;0;0;14437;22176;4962;15055;2018;2812
1998;144;Odenwald;6;0;239244;204277;199517;200684;89599;84546;82983;73260;0;0;10175;14814;6555;14477;2184;2415
1998;145;Bergstraße;6;0;193655;164562;161383;162206;73222;67124;70781;60533;0;0;6587;10796;3490;11813;1500;1674
1998;146;Neuwied;7;0;237372;199113;195919;196729;89208;83604;86577;78578;0;0;7935;10834;6105;13536;1758;1994
1998;147;Ahrweiler;7;0;186089;155630;151785;153599;61579;56988;73338;70251;0;0;5972;8309;7384;11579;0;1171
1998;148;Koblenz;7;0;192628;161117;157802;159007;69267;64058;72960;66608;0;0;6670;10103;4743;11079;1377;1520
1998;149;Cochem;7;0;145673;122667;119560;120318;45295;43293;59442;54974;0;0;5107;6015;7434;10184;0;1010
1998;150;Kreuznach;7;0;190272;157216;154422;155245;72549;71566;65110;54750;0;0;6132;8475;4095;11186;1466;1545
1998;151;Bitburg;7;0;166304;138602;135400;135967;50410;47587;70627;64163;0;0;5954;7235;5539;10558;0;1080
1998;152;Trier;7;0;181269;150522;147759;148053;66858;62819;64319;58309;0;0;8304;11455;4548;9112;0;1371
1998;153;Montabaur;7;0;238608;200900;197315;198235;93074;84210;87070;78023;0;0;7068;10661;5940;13801;0;2018
1998;154;Mainz;7;0;231534;196094;193188;193910;84204;75080;73016;70643;0;0;10700;19159;14593;16681;2324;2818
1998;155;Worms;7;0;189617;159641;156592;157377;78371;70798;58134;53269;0;0;7821;10035;6452;12225;0;1894
1998;156;Frankenthal;7;0;154614;131714;129272;129743;61407;58061;51007;45960;0;0;6344;7047;4241;8559;0;1304
1998;157;Ludwigshafen;7;0;154312;129434;127586;127686;61150;56260;52072;45084;0;0;3716;6635;2424;7928;0;1521
1998;158;Neustadt - Speyer;7;0;180381;153104;150233;150852;61759;55318;69516;62833;0;0;6384;9857;4674;11150;0;1497
1998;159;Kaiserslautern;7;0;219501;180097;175704;176661;89455;83360;65260;59342;0;0;6648;9395;6420;10072;0;1768
1998;160;Pirmasens;7;0;148054;123687;120105;121033;54882;52179;48408;46093;0;0;5025;5156;4713;7153;0;1131
1998;161;Südpfalz;7;0;199808;170179;167130;167337;66553;63705;78722;66378;0;0;7485;11638;5103;12213;0;1441
1998;162;Stuttgart I;8;0;178694;150160;148902;149041;50674;50934;56139;47496;0;0;28755;23059;6536;17692;969;1804
1998;163;Stuttgart II;8;0;179860;147099;145504;145572;63065;56815;55008;47332;0;0;10038;15515;6359;13409;1300;1755
1998;164;Böblingen;8;0;239572;204171;201404;201916;78502;70851;88536;76136;0;0;13782;18001;8649;20845;1831;1787
1998;165;Esslingen;8;0;157080;134481;132864;133220;60952;49489;53457;49729;0;0;6883;12284;4330;11248;867;988
1998;166;Nürtingen;8;0;182480;155905;153559;154051;54405;53286;65841;57382;0;0;15932;14375;5960;15235;1077;1158
1998;167;Göppingen;8;0;176627;147030;144793;145094;61301;56651;61332;50642;0;0;6864;10761;4516;13213;0;1014
1998;168;Waiblingen;8;0;210374;177198;174855;175366;68235;62123;74923;63160;0;0;12809;16119;6963;18660;1325;1491
1998;169;Ludwigsburg;8;0;194918;165291;163194;163478;56796;60956;72340;57161;0;0;16457;14524;6383;16952;1409;1610
1998;170;Neckar-Zaber;8;0;196951;168926;166360;166697;70775;60512;66119;57774;0;0;10030;14802;8041;17461;1423;1543
1998;171;Heilbronn;8;0;234627;194813;191500;191711;77654;71814;83782;69254;0;0;8666;13538;5746;16898;1691;1801
1998;172;Schwäbisch Hall - Hohenlohe;8;0;208753;171001;168279;168108;60259;56706;62588;58500;0;0;9768;14315;13505;19130;1227;1568
1998;173;Backnang - Schwäbisch Gmünd;8;0;168809;138907;136267;136749;52511;49995;57011;50184;0;0;8156;11059;7032;11486;1125;1135
1998;174;Aalen - Heidenheim;8;0;219980;183538;179710;180326;72157;70796;79462;68902;0;0;10003;11730;5288;12319;0;1206
1998;175;Karlsruhe-Stadt;8;0;212837;172224;169864;170023;67864;66345;56033;57107;0;0;13440;17963;24371;17357;1836;2575
1998;176;Karlsruhe-Land;8;0;239649;203154;199327;199975;77772;72569;93165;82495;0;0;9654;13253;6177;15176;1720;1846
1998;177;Rastatt;8;0;239171;196907;192954;193601;71645;68297;95071;82610;0;0;10552;13760;7782;15766;0;1749
1998;178;Heidelberg;8;0;189654;160708;158507;158732;70603;59772;62516;54731;0;0;11256;20392;6123;13576;1493;2170
1998;179;Mannheim I;8;0;135729;106531;105160;105176;51385;47946;39496;33221;0;0;5570;8789;1918;6086;1270;1665
1998;180;Mannheim II;8;0;159812;137315;135403;135685;63442;53727;55903;49320;0;0;5711;11845;4006;10986;1258;1534
1998;181;Odenwald - Tauber;8;0;209725;174409;169907;171094;60342;56608;84852;78303;0;0;7646;9962;5202;11485;0;1366
1998;182;Rhein-Neckar;8;0;183999;157248;154397;154968;64707;57743;68301;60888;0;0;8767;12733;5450;12139;0;1418
1998;183;Pforzheim;8;0;219136;181447;178688;178829;78001;66707;72545;65977;0;0;7862;12744;7347;16962;1606;1821
1998;184;Calw;8;0;189913;156535;154166;154308;53926;49495;73320;63141;0;0;7667;10921;6948;15457;1133;1351
1998;185;Freiburg;8;0;223897;187250;184236;184708;76430;61925;69485;58761;0;0;25079;37702;5692;14547;0;2696
1998;186;Lörrach - Müllheim;8;0;210153;170571;167354;168143;75237;65587;65849;58880;0;0;12321;18899;5908;12745;0;1738
1998;187;Emmendingen - Lahr;8;0;213945;174638;170980;171121;71192;64903;71456;65527;0;0;12980;16818;6253;11889;0;1527
1998;188;Offenburg;8;0;197065;155885;152182;152555;50466;52950;80094;65404;0;0;9280;12360;4238;10645;1732;1562
1998;189;Rottweil - Tuttlingen;8;0;192889;159559;156137;156438;55012;51937;72640;66524;0;0;7648;10152;9474;13640;1569;1677
1998;190;Schwarzwald-Baar;8;0;147356;121016;118929;119220;43484;42397;53380;47904;0;0;8323;8954;6354;10243;1288;1402
1998;191;Konstanz;8;0;184648;150402;147643;148379;50015;53455;65241;54532;0;0;17573;15975;8791;14327;1575;1564
1998;192;Waldshut;8;0;141815;114368;111826;112516;41658;38344;50620;45069;0;0;7768;10385;4565;9600;0;1042
1998;193;Reutlingen;8;0;189056;159177;155982;156960;56084;53953;65558;59790;0;0;11102;13296;12436;16082;1461;1417
1998;194;Tübingen;8;0;171012;146072;144184;144349;68074;48234;54820;47455;0;0;6976;21529;4492;14199;1134;1744
1998;195;Ulm;8;0;204903;172030;169368;169859;60677;57232;79008;68222;0;0;12077;15189;7521;14271;0;1406
1998;196;Biberach;8;0;220728;182761;179242;179293;45625;47284;86943;81501;0;0;22720;16271;5687;11971;0;1092
1998;197;Ravensburg - Bodensee;8;0;235772;194185;191011;191529;64149;60581;87978;78467;0;0;18610;19747;8163;16354;1545;1601
1998;198;Zollernalb - Sigmaringen;8;0;195344;159700;156143;156574;50985;49520;77784;66392;0;0;7673;9846;6820;14476;1211;1190
1998;199;Altötting;9;0;239410;188360;186449;187008;53478;53969;0;0;108559;99590;7920;9668;4640;9812;0;998
1998;200;Freising;9;0;238107;187329;185713;186057;54110;55775;0;0;102042;95769;10650;10739;4512;9199;1385;1320
1998;201;Fürstenfeldbruck;9;0;229214;186837;185210;185863;62380;58496;0;0;97472;90321;9685;13399;5263;11295;993;1202
1998;202;Ingolstadt;9;0;229237;179635;177597;178099;59095;59915;0;0;97744;92923;8119;7933;3469;6384;1493;1109
1998;203;München-Mitte;9;0;154931;119587;118693;119111;53701;43061;0;0;42779;37977;12911;22189;4388;8887;1418;1959
1998;204;München-Nord;9;0;166451;125634;124725;125003;56040;47951;0;0;52477;47767;6124;12381;3472;8026;1172;1674
1998;205;München-Ost;9;0;165009;129966;129101;129379;51494;46304;0;0;60085;54190;6752;10529;4553;10261;1122;1357
1998;206;München-Süd;9;0;178041;139428;138026;138854;57952;49571;0;0;56703;56890;7611;13032;6742;10185;1132;1647
1998;207;München-West;9;0;158963;125555;124724;124994;49318;43528;0;0;59056;50860;7365;13398;3594;8778;985;1509
1998;208;München-Land;9;0;227495;189039;187686;188192;66173;59121;0;0;98081;87161;7945;14407;6670;16405;1157;1426
1998;209;Rosenheim;9;0;206632;161034;159282;159975;43269;43318;0;0;87985;82765;7935;9661;4979;8869;0;799
1998;210;Starnberg;9;0;238873;194112;192286;193062;50470;50246;0;0;109689;100792;10406;13816;12471;15480;0;1063
1998;211;Traunstein;9;0;199447;155228;153405;153872;39040;42308;0;0;92252;84118;10648;9025;2776;6938;0;692
1998;212;Weilheim;9;0;229183;182906;181315;181695;46456;49178;0;0;105250;96596;8712;11285;3737;10352;0;936
1998;213;Deggendorf;9;0;148831;107879;106746;106995;37530;36655;0;0;59969;55259;2733;3277;1602;3646;0;321
1998;214;Landshut;9;0;225935;173208;171183;171851;55540;54342;0;0;95780;90281;7336;8350;3981;7430;0;915
1998;215;Passau;9;0;178488;132197;130815;131137;40782;45544;0;0;69101;64372;5691;5091;5704;6015;0;455
1998;216;Rottal-Inn;9;0;155514;114645;113269;113504;33410;33394;0;0;67225;63646;3699;3933;2097;4329;0;401
1998;217;Straubing;9;0;166655;124491;123132;123220;34146;38150;0;0;77536;67939;3252;3317;1620;4396;0;425
1998;218;Amberg;9;0;204868;163841;161860;162401;58231;58966;0;0;85209;82406;6674;6181;3705;5703;1042;839
1998;219;Regensburg;9;0;224501;175596;173540;173843;60699;59652;0;0;91540;85726;7732;10209;3337;6937;1080;1178
1998;220;Schwandorf;9;0;210132;160443;158369;158665;61178;61146;0;0;85157;79320;3475;4502;2386;4470;0;647
1998;221;Weiden;9;0;172077;140147;138690;138921;65169;58095;0;0;65290;66201;2255;3674;1850;4440;851;746
1998;222;Bamberg;9;0;216983;174273;172398;173099;55484;55474;0;0;94146;86581;10105;10259;4885;8089;0;1013
1998;223;Bayreuth;9;0;140532;111556;110465;110654;43158;43156;0;0;55911;49173;4440;5546;3042;5608;0;675
1998;224;Coburg;9;0;164605;134217;132525;133107;63395;60206;0;0;56599;56871;3919;4785;4328;4678;0;772
1998;225;Hof;9;0;194088;154412;152959;153149;75773;69933;0;0;65643;62143;2937;5073;2312;5309;0;1174
1998;226;Kulmbach;9;0;140566;113817;112591;112949;47177;44715;0;0;56009;54007;3437;3989;2222;3767;0;556
1998;227;Ansbach;9;0;234768;185822;183903;184388;68573;69570;0;0;92601;85091;8716;9901;4568;7841;1384;1125
1998;228;Erlangen;9;0;165870;137335;136384;136634;58035;53620;0;0;62745;55738;6925;11077;3626;8912;959;1178
1998;229;Fürth;9;0;236041;188712;186326;186744;78509;77551;0;0;87338;77238;8682;10432;3679;9299;0;1342
1998;230;Nürnberg-Nord;9;0;182328;143452;142236;142574;64662;59571;0;0;60895;53817;6980;12691;2819;7178;1550;1968
1998;231;Nürnberg-Süd;9;0;185053;145910;144484;144767;69338;64656;0;0;61408;57760;4331;7201;2554;5783;1271;1355
1998;232;Roth;9;0;216094;179654;178295;178562;76518;72701;0;0;84804;77347;6962;9969;3970;8657;0;1072
1998;233;Aschaffenburg;9;0;175604;141499;139534;140008;47114;49716;0;0;71767;65348;11059;8576;3157;7278;0;1039
1998;234;Bad Kissingen;9;0;216705;177335;175560;175750;56023;54481;0;0;99264;92125;8211;8258;3894;8500;0;914
1998;235;Main-Spessart;9;0;192660;159001;156793;157553;61150;56281;0;0;83774;75808;0;8640;4004;7069;0;769
1998;236;Schweinfurt;9;0;194387;158728;157043;157365;54522;54552;0;0;81553;75458;7826;8083;3365;7070;0;809
1998;237;Würzburg;9;0;212418;175703;173639;174465;64364;62808;0;0;81234;75965;11600;14272;5214;9101;1255;1145
1998;238;Augsburg-Stadt;9;0;195330;148941;147670;147635;57322;54360;0;0;69680;64207;8200;10535;3063;6926;1159;1332
1998;239;Augsburg-Land;9;0;228352;183556;181858;182246;54522;56165;0;0;105629;92160;7109;10155;4126;9858;1191;1070
1998;240;Donau-Ries;9;0;174473;137975;136303;136927;40604;42321;0;0;77910;72273;5480;5989;4094;6084;0;596
1998;241;Neu-Ulm;9;0;222770;174365;172477;173111;54899;54454;0;0;94445;85432;6515;8594;4244;9479;0;981
1998;242;Oberallgäu;9;0;208715;164595;162935;163519;45499;47080;0;0;91914;82468;11351;10765;5469;10201;0;970
1998;243;Ostallgäu;9;0;228992;178856;176118;177561;50621;48965;0;0;100222;94601;8301;9123;5117;9696;0;828
1998;244;Saarbrücken I;10;0;148769;119774;117456;116747;66203;58441;37260;32417;0;0;5391;10884;3458;7873;1031;1749
1998;245;Saarbrücken II;10;0;160495;137882;133845;134847;78058;75001;44785;40855;0;0;3918;6062;2845;5765;0;1310
1998;246;Saarlouis;10;0;175025;148575;145421;145961;80089;75268;54345;49611;0;0;4783;6971;2734;6652;0;1218
1998;247;Sankt Wendel;10;0;171561;150813;147360;148164;78290;77218;57949;52442;0;0;3933;6097;1893;5236;1150;1224
1998;248;Homburg;10;0;172657;145942;143014;143589;78203;75558;48538;44159;0;0;5168;7793;3042;6991;1236;1586
1998;249;Berlin-Mitte - Prenzlauer Berg;11;1;161030;127906;126663;126805;46138;41656;13723;15233;0;0;9222;21926;1342;2768;46421;34869
1998;250;Berlin-Tiergarten - Wedding - Nord-Charlottenburg;11;1;171203;131955;129527;129969;64631;55479;33715;31770;0;0;13975;19225;3347;5854;3787;4548
1998;251;Berlin-Reinickendorf;11;1;189295;157198;154797;155167;73840;63246;57211;51823;0;0;6860;12284;3783;10285;2768;3429
1998;252;Berlin-Spandau;11;1;160510;130751;128539;128759;64204;56477;43831;39595;0;0;5553;9887;3933;7825;2643;3353
1998;253;Berlin-Zehlendorf - Steglitz;11;1;219320;188078;185639;186223;79269;65976;73215;62279;0;0;14530;25412;6942;17793;2588;3774
1998;254;Berlin-Charlottenburg - Wilmersdorf;11;1;205770;171182;169080;169521;73133;61162;56497;49781;0;0;19667;29704;10072;15409;2910;4127
