jahr;wkr_nr;wkr_name;bula;ost;wahlberechtigte;waehler;zweitstimmegueltig;spd1;spd2;cdu1;cdu2;fdp1;fdp2;pds1;pds2;gru1;gru2;csu1;csu2
2009;151;Märkischer Kreis II;5;0;210993;146986;145325;59521;41755;52751;51494;11740;20616;10431;12450;6207;10589;0;0
2009;152;Nordsachsen;14;1;178447;109628;107956;15860;16927;44147;38440;10611;13747;27760;27765;4357;4783;0;0
2009;153;Leipzig I;14;1;202455;129834;128311;24866;23070;42704;38471;11781;16478;34015;32762;8856;11474;0;0
2009;154;Leipzig II;14;1;212804;144581;142795;32841;26133;41101;37304;10505;16983;36117;36431;17345;20998;0;0
2009;155;Leipzig-Land;14;1;231084;148389;146308;23471;23354;60969;53735;14799;19240;33044;34826;6745;7533;0;0
2009;156;Meißen;14;1;216629;140109;137821;17236;17987;62290;51703;12403;20052;29423;31286;8315;7979;0;0
2009;157;Bautzen I;14;1;237786;154966;152393;16870;18906;64325;59103;17755;20969;38241;37144;6505;6431;0;0
2009;158;Görlitz;14;1;238958;149737;147147;17005;18569;62338;55015;13935;19223;35786;36231;7381;7004;0;0
2009;159;Sächsische Schweiz - Osterzgebirge;14;1;215674;141214;138960;16194;16725;62530;56001;15292;19910;28233;28970;6378;7346;0;0
2009;160;Dresden I;14;1;230676;157220;155447;25959;24373;56749;53247;14818;20574;37180;34171;13668;16961;0;0
2009;161;Dresden II - Bautzen II;14;1;231247;154609;152597;22268;21518;55401;51621;18204;21783;29679;30870;18871;19978;0;0
2009;162;Mittelsachsen;14;1;223149;143690;141567;20800;18677;61579;54525;14032;19726;32744;34630;5921;6208;0;0
2009;163;Chemnitz;14;1;205652;136100;134497;27060;22991;45876;41081;12106;17147;37433;38448;8109;9524;0;0
2009;164;Chemnitzer Umland - Erzgebirgskreis II;14;1;202743;133277;131322;19247;19114;54065;49258;14092;16968;33133;33488;5360;5946;0;0
2009;165;Erzgebirgskreis I;14;1;247624;159655;156798;17168;18846;63211;60413;23820;22051;37166;39545;5896;5919;0;0
2009;166;Zwickau;14;1;229535;145614;143386;20864;21336;55605;51459;13097;17402;40265;39659;6491;6418;0;0
2009;167;Vogtlandkreis;14;1;213732;137330;135054;21393;20227;55128;49522;12755;16882;33586;35235;5849;6781;0;0
2009;168;Waldeck;6;0;192360;140808;137295;51737;45343;48414;41109;13180;20210;10400;11657;11209;13498;0;0
2009;169;Kassel;6;0;222636;161033;157130;59621;49114;47643;40134;12188;19820;15453;17656;19246;23320;0;0
2009;170;Werra-Meißner - Hersfeld-Rotenburg;6;0;184337;135727;132097;53275;45401;45711;39966;12290;17526;11080;12927;7530;10679;0;0
2009;171;Schwalm-Eder;6;0;194732;144490;140215;56519;47585;47053;40592;13487;19854;11395;12958;9370;12935;0;0
2009;172;Marburg;6;0;185071;135293;133098;51712;38139;47322;41356;10964;17410;10857;13181;10366;16884;0;0
2009;173;Lahn-Dill;6;0;212611;147952;145222;47897;40485;60214;50391;12968;21137;9815;12133;11032;13382;0;0
2009;174;Gießen;6;0;228413;165668;162084;55331;44222;59441;50276;17928;25687;11399;14605;14140;18853;0;0
2009;175;Fulda;6;0;239786;177038;173378;41388;34783;86084;70740;17415;30594;11923;13377;12556;14727;0;0
2009;176;Hochtaunus;6;0;182246;141075;138858;35257;29758;62748;49902;16255;27979;7522;9229;12976;15877;0;0
2009;177;Wetterau;6;0;246697;183820;179818;59420;45085;73702;60038;16284;31612;11116;13681;12425;19242;0;0
2009;178;Rheingau-Taunus - Limburg;6;0;221226;166456;163619;45127;36352;75224;60875;17463;30530;9066;10853;13141;17210;0;0
2009;179;Wiesbaden;6;0;187479;133425;131204;42751;30892;53416;40831;12350;23194;9016;11333;10970;18560;0;0
2009;180;Hanau;6;0;241923;178604;174559;59413;42154;68704;56834;15523;30368;11985;15139;11572;19324;0;0
2009;181;Main-Taunus;6;0;195505;155748;153426;36629;29515;72680;56989;18588;33225;7718;8699;15618;18258;0;0
2009;182;Frankfurt am Main I;6;0;190058;132429;130338;39147;29107;45866;36031;12876;22761;12031;14551;15701;20645;0;0
2009;183;Frankfurt am Main II;6;0;212140;156548;154398;45074;33243;55027;43089;14336;27031;11998;15397;23403;28225;0;0
2009;184;Groß-Gerau;6;0;172278;128119;125354;44973;35058;45410;37526;10177;18630;9449;11103;12072;15677;0;0
2009;185;Offenbach;6;0;221180;158857;154644;44542;34376;62281;49267;15843;28409;11594;13813;15243;19863;0;0
